CMDLINE /nfs/dust/cms/user/filatovo/miniconda3/envs/tau-dev/bin/python transform_inputs.py --path data/ShuffleMergeSpectral_1.root --batch_size 500 --n_batches 20
MEM 3.156250 1612956979.9984
MEM 8.433594 1612956980.0986
MEM 14.484375 1612956980.1989
MEM 17.937500 1612956980.2993
MEM 21.722656 1612956980.3997
MEM 24.316406 1612956980.5001
MEM 28.546875 1612956980.6004
MEM 31.183594 1612956980.7008
MEM 34.089844 1612956980.8013
MEM 38.574219 1612956980.9016
MEM 43.019531 1612956981.0021
MEM 58.531250 1612956981.1025
MEM 64.351562 1612956981.2029
MEM 67.730469 1612956981.3033
MEM 67.730469 1612956981.4037
MEM 67.984375 1612956981.5041
MEM 69.203125 1612956981.6045
MEM 74.226562 1612956981.7050
MEM 75.945312 1612956981.8054
MEM 79.226562 1612956981.9058
MEM 82.820312 1612956982.0063
MEM 85.074219 1612956982.1067
MEM 86.867188 1612956982.2071
MEM 89.921875 1612956982.3075
MEM 106.710938 1612956982.4077
MEM 108.656250 1612956982.5079
MEM 110.714844 1612956982.6081
MEM 113.152344 1612956982.7083
MEM 116.417969 1612956982.8086
MEM 119.367188 1612956982.9088
MEM 132.613281 1612956983.0090
MEM 138.097656 1612956983.1093
MEM 141.035156 1612956983.2095
MEM 142.941406 1612956983.3097
MEM 145.886719 1612956983.4101
MEM 148.285156 1612956983.5103
MEM 150.304688 1612956983.6105
MEM 152.113281 1612956983.7107
MEM 152.875000 1612956983.8109
MEM 152.875000 1612956983.9111
MEM 153.117188 1612956984.0114
MEM 153.187500 1612956984.1116
MEM 153.187500 1612956984.2118
MEM 153.187500 1612956984.3121
MEM 153.187500 1612956984.4123
MEM 153.187500 1612956984.5125
MEM 153.187500 1612956984.6129
MEM 153.449219 1612956984.7131
MEM 153.449219 1612956984.8133
MEM 153.449219 1612956984.9135
MEM 153.449219 1612956985.0137
MEM 153.449219 1612956985.1145
MEM 153.449219 1612956985.2149
MEM 153.710938 1612956985.3152
MEM 160.539062 1612956985.4154
MEM 163.746094 1612956985.5156
MEM 170.839844 1612956985.6158
MEM 177.960938 1612956985.7160
MEM 181.800781 1612956985.8162
MEM 181.800781 1612956985.9164
MEM 182.492188 1612956986.0166
MEM 182.890625 1612956986.1168
MEM 186.414062 1612956986.2170
MEM 189.902344 1612956986.3172
MEM 192.566406 1612956986.4174
MEM 194.105469 1612956986.5177
MEM 195.902344 1612956986.6180
MEM 196.585938 1612956986.7182
MEM 196.585938 1612956986.8184
MEM 196.843750 1612956986.9186
MEM 199.250000 1612956987.0188
MEM 199.839844 1612956987.1190
MEM 201.382812 1612956987.2192
MEM 203.710938 1612956987.3195
MEM 204.613281 1612956987.4197
MEM 205.382812 1612956987.5199
MEM 206.156250 1612956987.6201
MEM 207.187500 1612956987.7204
MEM 208.925781 1612956987.8206
MEM 209.957031 1612956987.9208
MEM 210.984375 1612956988.0211
MEM 210.984375 1612956988.1215
MEM 211.390625 1612956988.2219
MEM 217.835938 1612956988.3222
MEM 251.867188 1612956988.4225
MEM 253.671875 1612956988.5227
MEM 259.597656 1612956988.6229
MEM 265.527344 1612956988.7231
MEM 265.527344 1612956988.8233
MEM 265.484375 1612956988.9235
MEM 265.320312 1612956989.0237
MEM 265.285156 1612956989.1239
MEM 265.449219 1612956989.2242
MEM 265.761719 1612956989.3244
MEM 266.136719 1612956989.4246
MEM 267.167969 1612956989.5248
MEM 271.035156 1612956989.6250
MEM 271.035156 1612956989.7252
MEM 271.035156 1612956989.8254
MEM 271.015625 1612956989.9257
MEM 271.121094 1612956990.0260
MEM 270.957031 1612956990.1262
MEM 270.222656 1612956990.2264
MEM 269.378906 1612956990.3266
MEM 271.699219 1612956990.4269
MEM 271.699219 1612956990.5271
MEM 281.496094 1612956990.6274
MEM 282.527344 1612956990.7276
MEM 282.527344 1612956990.8278
MEM 282.429688 1612956990.9280
MEM 282.410156 1612956991.0282
MEM 282.648438 1612956991.1284
MEM 282.511719 1612956991.2288
MEM 260.285156 1612956991.3290
MEM 288.902344 1612956991.4292
MEM 290.191406 1612956991.5296
MEM 290.707031 1612956991.6299
MEM 290.707031 1612956991.7302
MEM 290.707031 1612956991.8304
MEM 290.625000 1612956991.9306
MEM 290.515625 1612956992.0310
MEM 290.605469 1612956992.1312
MEM 297.050781 1612956992.2315
MEM 296.152344 1612956992.3319
MEM 298.214844 1612956992.4322
MEM 298.214844 1612956992.5326
MEM 301.308594 1612956992.6330
MEM 301.308594 1612956992.7332
MEM 301.347656 1612956992.8335
MEM 301.242188 1612956992.9337
MEM 300.972656 1612956993.0341
MEM 300.992188 1612956993.1346
MEM 309.757812 1612956993.2350
MEM 309.003906 1612956993.3355
MEM 310.808594 1612956993.4359
MEM 311.066406 1612956993.5363
MEM 314.933594 1612956993.6367
MEM 314.933594 1612956993.7372
MEM 315.050781 1612956993.8374
MEM 315.113281 1612956993.9376
MEM 315.050781 1612956994.0380
MEM 315.175781 1612956994.1382
MEM 324.199219 1612956994.2385
MEM 323.171875 1612956994.3390
MEM 323.687500 1612956994.4394
MEM 325.234375 1612956994.5398
MEM 325.234375 1612956994.6403
MEM 326.519531 1612956994.7406
MEM 326.519531 1612956994.8410
MEM 326.519531 1612956994.9414
MEM 326.390625 1612956995.0419
MEM 326.652344 1612956995.1423
MEM 326.660156 1612956995.2427
MEM 333.363281 1612956995.3436
MEM 332.265625 1612956995.4439
MEM 332.781250 1612956995.5443
MEM 333.296875 1612956995.6447
MEM 333.812500 1612956995.7451
MEM 333.812500 1612956995.8455
