CMDLINE /nfs/dust/cms/user/filatovo/miniconda3/envs/tau-dev/bin/python transform_inputs.py --path data/ShuffleMergeSpectral_1.root --batch_size 5000 --n_batches 20
MEM 2.441406 1612803764.3692
MEM 10.027344 1612803764.4695
MEM 15.253906 1612803764.5697
MEM 18.734375 1612803764.6699
MEM 23.027344 1612803764.7701
MEM 25.300781 1612803764.8703
MEM 29.574219 1612803764.9705
MEM 32.750000 1612803765.0707
MEM 35.007812 1612803765.1709
MEM 39.843750 1612803765.2712
MEM 42.777344 1612803765.3714
MEM 58.296875 1612803765.4717
MEM 63.550781 1612803765.5719
MEM 67.578125 1612803765.6721
MEM 67.835938 1612803765.7723
MEM 67.835938 1612803765.8725
MEM 67.835938 1612803765.9727
MEM 67.835938 1612803766.0729
MEM 67.835938 1612803766.1731
MEM 67.835938 1612803766.2733
MEM 68.089844 1612803766.3736
MEM 69.421875 1612803766.4738
MEM 74.433594 1612803766.5740
MEM 76.738281 1612803766.6742
MEM 80.839844 1612803766.7744
MEM 84.027344 1612803766.8746
MEM 86.437500 1612803766.9748
MEM 89.980469 1612803767.0754
MEM 103.761719 1612803767.1758
MEM 108.621094 1612803767.2760
MEM 111.089844 1612803767.3762
MEM 114.312500 1612803767.4764
MEM 117.089844 1612803767.5766
MEM 119.867188 1612803767.6768
MEM 135.242188 1612803767.7770
MEM 139.957031 1612803767.8772
MEM 141.031250 1612803767.9774
MEM 143.390625 1612803768.0777
MEM 146.406250 1612803768.1779
MEM 147.191406 1612803768.2781
MEM 148.035156 1612803768.3783
MEM 150.035156 1612803768.4785
MEM 151.863281 1612803768.5787
MEM 152.882812 1612803768.6789
MEM 152.882812 1612803768.7791
MEM 153.121094 1612803768.8793
MEM 153.121094 1612803768.9795
MEM 153.191406 1612803769.0797
MEM 153.191406 1612803769.1799
MEM 153.191406 1612803769.2801
MEM 153.191406 1612803769.3805
MEM 153.191406 1612803769.4813
MEM 153.453125 1612803769.5815
MEM 153.453125 1612803769.6818
MEM 153.453125 1612803769.7820
MEM 153.453125 1612803769.8822
MEM 153.453125 1612803769.9824
MEM 153.453125 1612803770.0826
MEM 153.707031 1612803770.1828
MEM 153.714844 1612803770.2831
MEM 154.222656 1612803770.3833
MEM 176.488281 1612803770.4836
MEM 181.894531 1612803770.5838
MEM 182.605469 1612803770.6842
MEM 190.085938 1612803770.7844
MEM 191.117188 1612803770.8846
MEM 195.562500 1612803770.9848
MEM 202.171875 1612803771.0850
MEM 209.703125 1612803771.1852
MEM 217.925781 1612803771.2854
MEM 236.660156 1612803771.3858
MEM 281.671875 1612803771.4861
MEM 298.050781 1612803771.5863
MEM 298.304688 1612803771.6865
MEM 298.304688 1612803771.7867
MEM 298.875000 1612803771.8869
MEM 300.066406 1612803771.9871
MEM 303.773438 1612803772.0873
MEM 307.792969 1612803772.1875
MEM 308.308594 1612803772.2877
MEM 310.050781 1612803772.3879
MEM 318.558594 1612803772.4881
MEM 320.402344 1612803772.5883
MEM 321.164062 1612803772.6885
MEM 412.171875 1612803772.7887
MEM 573.562500 1612803772.8889
MEM 582.359375 1612803772.9892
MEM 583.609375 1612803773.0894
MEM 636.203125 1612803773.1897
MEM 712.000000 1612803773.2899
MEM 905.675781 1612803773.3902
MEM 1026.589844 1612803773.4904
MEM 1285.949219 1612803773.5907
MEM 1291.621094 1612803773.6909
MEM 1303.480469 1612803773.7911
MEM 1336.777344 1612803773.8913
MEM 1339.871094 1612803773.9915
MEM 1342.707031 1612803774.0917
MEM 1349.667969 1612803774.1919
MEM 1354.800781 1612803774.2921
MEM 1358.664062 1612803774.3923
MEM 1361.500000 1612803774.4925
MEM 1367.687500 1612803774.5927
MEM 1368.527344 1612803774.6929
MEM 1378.839844 1612803774.7931
MEM 1388.121094 1612803774.8934
MEM 1455.152344 1612803774.9936
MEM 1471.492188 1612803775.0938
MEM 1476.132812 1612803775.1941
MEM 1476.132812 1612803775.2943
MEM 1391.953125 1612803775.3945
MEM 1314.433594 1612803775.4947
MEM 1428.128906 1612803775.5949
MEM 1392.125000 1612803775.6951
MEM 1315.808594 1612803775.7953
MEM 1408.816406 1612803775.8955
MEM 1460.121094 1612803775.9957
MEM 1316.656250 1612803776.0959
MEM 1446.335938 1612803776.1961
MEM 1451.492188 1612803776.2965
MEM 1490.679688 1612803776.3968
MEM 1490.679688 1612803776.4973
MEM 1490.824219 1612803776.5975
MEM 1493.140625 1612803776.6978
MEM 1501.132812 1612803776.7980
MEM 1506.031250 1612803776.8982
MEM 1511.960938 1612803776.9984
MEM 1520.726562 1612803777.0986
MEM 1520.984375 1612803777.1989
MEM 1520.984375 1612803777.2991
MEM 1528.460938 1612803777.3993
MEM 1582.546875 1612803777.4995
MEM 1592.339844 1612803777.5998
MEM 1592.339844 1612803777.7000
